datum,e.coli
2002-04-22,30
2002-05-21,30
2002-06-03,930
2002-06-17,91
2002-07-01,30
2002-07-15,150
2002-07-29,36
2002-08-12,36
2002-08-26,91
2002-09-09,36
2003-04-22,30
2003-05-19,30
2003-06-02,36
2003-06-16,30
2003-06-30,30
2003-07-14,30
2003-07-28,36
2003-08-11,30
2003-08-25,30
2003-09-08,30
2004-04-20,30
2004-05-18,36
2004-06-02,30
2004-06-15,30
2004-06-29,30
2004-07-13,30
2004-07-27,30
2004-08-10,30
2004-08-24,30
2004-09-07,30
2005-04-19,30
2005-05-18,930
2005-05-31,36
2005-06-14,30
2005-06-28,30
2005-07-12,430
2005-07-26,430
2005-08-09,36
2005-08-23,430
2005-08-26,30
2005-09-06,36
2006-04-19,230
2006-05-16,30
2006-05-30,36
2006-06-14,30
2006-06-27,72
2006-07-11,30
2006-07-25,30
2006-08-08,210
2006-08-24,30
2006-09-07,91
2007-04-11,30
2007-05-15,91
2007-05-30,1500
2007-06-04,91
2007-06-12,30
2007-06-26,430
2007-07-10,91
2007-07-24,2400
2007-07-27,36
2007-07-31,91
2007-08-07,30
2007-08-21,36
2007-09-04,36
2008-04-15,805
2008-05-15,15
2008-05-27,15
2008-06-10,15
2008-06-24,15
2008-07-10,30
2008-07-22,15
2008-08-05,61
2008-08-19,15
2008-09-02,15
2009-04-28,15
2009-05-26,15
2009-06-10,15
2009-06-23,15
2009-07-08,77
2009-07-21,272
2009-08-04,15
2009-08-18,15
2009-09-02,15
2009-09-15,15
2010-04-26,15
2010-05-26,312
2010-06-08,15
2010-06-22,15
2010-07-06,15
2010-07-20,30
2010-08-04,15
2010-08-17,1183
2010-08-20,465
2010-08-23,213
2010-08-31,720
2010-09-14,3093
2010-09-17,4796
2011-05-10,15
2011-05-27,30
2011-06-06,15
2011-06-20,824
2011-06-24,434
2011-07-05,2994
2011-07-08,61
2011-07-13,46
2011-07-19,2087
2011-07-26,580
2011-08-02,1020
2011-08-16,7511
2011-08-18,585
2011-08-30,332
2011-09-13,7683
2011-09-19,1924
2011-09-22,195
2012-04-24,94
2012-05-22,15
2012-06-05,15
2012-06-19,46
2012-07-03,539
2012-07-12,15
2012-07-17,393
2012-07-31,1931
2012-08-03,213
2012-08-14,15
2012-08-28,15
2012-09-11,77
2013-04-23,15
2013-05-22,15
2013-06-04,393
2013-06-18,61
2013-07-02,838
2013-07-08,127
2013-07-16,15
2013-07-30,15
2013-08-01,1120
2013-08-09,1494
2013-08-13,249
2013-08-27,15
2013-09-10,30
2014-04-23,15
2014-05-19,782
2014-05-22,15
2014-06-02,292
2014-06-06,110
2014-06-16,15
2014-06-19,46
2014-06-27,34659
2014-07-01,268
2014-07-14,232
2014-07-28,15
2014-08-11,61
2014-08-25,15
2014-09-08,46
2015-04-21,15
2015-04-28,15
2015-05-19,30
2015-05-27,15
2015-06-03,15
2015-06-09,15
2015-06-16,15
2015-06-23,46
2015-06-30,30
2015-07-08,30
2015-07-14,15
2015-07-21,2072
2015-07-23,45
2015-07-28,15
2015-08-05,15
2015-08-11,30
2015-08-18,15
2015-08-25,15
2015-09-02,15
2015-09-08,15
2015-09-15,77
2016-04-19,489
2016-04-26,15
2016-05-18,15
2016-05-24,15
2016-06-01,160
2016-06-08,15
2016-06-14,213
2016-06-21,234
2016-06-28,215
2016-07-05,15
2016-07-13,15
2016-07-19,15
2016-07-22,15
2016-07-27,15
2016-08-02,434
2016-08-10,46
2016-08-16,15
2016-08-24,15
2016-08-30,15
2016-09-07,61
2016-09-13,15
2017-04-19,15
2017-04-25,15
2017-05-17,194
2017-05-23,15
2017-05-31,15
2017-06-07,144
2017-06-15,77
2017-06-20,15
2017-06-28,419
2017-07-04,697
2017-07-12,393
2017-07-18,61
2017-07-24,2900
2017-07-28,2105
2017-08-01,179
2017-08-09,77
2017-08-15,15
2017-08-25,110
2017-08-29,15
2017-09-04,943
2017-09-12,77
2018-04-18,127
2018-05-16,126
2018-05-23,30
2018-05-30,30
2018-06-06,125
2018-06-15,476
2018-06-19,15
2018-06-27,77
2018-07-04,15
2018-07-12,45
2018-07-17,61
2018-07-25,46
2018-08-01,15
2018-08-09,77
2018-08-14,15
2018-08-22,30
2018-08-28,15
2018-09-06,15
2018-09-11,15
2019-04-24,30
2019-04-24,15
2019-05-14,30
2019-05-22,6581
2019-05-28,15
2019-06-06,77
2019-06-12,110
2019-06-19,215
2019-06-25,15
2019-07-03,350
2019-07-09,15
2019-07-17,1327
2019-07-24,15
2019-08-01,683
